,n_gram_size,assembled_sentence,sentence
452,4,SYSTEM_AGENTS_GROUP_NAME,SYSTEM AGENTS GROUP NAME
453,3,SaveDocumentInternal,Save Document Internal
454,5,ServerConfig.pieceImageFile,Server Config piece Image File
455,4,ServerDoesntSupportACL,Server Doesnt Support ACL
456,4,SetLeaveAsAscii,Set Leave As Ascii
457,5,SetMsgHdrCacheSize,Set Msg Hdr Cache Size
458,3,SetUnusedInput,Set Unused Input
459,6,ShareResourceEvent.ET_ATTRIBUTE_CHANGED,Share Resource Event ET ATTRIBUTE CHANGED
460,5,SimpleCpcClient::Parser_t::ParserStatus,Simple Cpc Client::Parser t::Parser Status
461,6,SmtpHeadersInterface.CONTENT_TRANSFER_ENCODING,Smtp Headers Interface CONTENT TRANSFER ENCODING
462,3,SprawdzTypySkladnikow,Sprawdz Typy Skladnikow
463,4,StartServer_MenuInit,Start Server Menu Init
464,2,StornoDialog,Storno Dialog
465,3,StrongBinaryEncryptor,Strong Binary Encryptor
466,3,StyleDisplayImpl,Style Display Impl
467,8,T1_Block.T1_BLOCK_R_OK,T 1 Block T 1 BLOCK R OK
468,3,TAG_NL_VAR,TAG NL VAR
469,1,TBACKGND,TBACKGND
470,2,TBBTN_TRANSFERS,TBBTN TRANSFERS
471,4,TEST_NO_UUID_STRUCT,TEST NO UUID STRUCT
472,3,TFNGui.ADD_TRANSITION,TFNGui ADD TRANSITION
473,3,TMADicotomicIndexedItems,TMADicotomic Indexed Items
474,2,TME_HOVER,TME HOVER
475,1,TOPREVFILE,TOPREVFILE
476,3,TRACEBACK_FETCH_ERROR,TRACEBACK FETCH ERROR
477,1,TRAinfo,TRAinfo
478,4,TRG_NUM_REQUIRED_PARAMETERS,TRG NUM REQUIRED PARAMETERS
479,6,TRX_SYS_MYSQL_LOG_NAME_LEN,TRX SYS MYSQL LOG NAME LEN
480,3,TT_PEEK_LONG,TT PEEK LONG
481,4,TT_Round_To_Grid,TT Round To Grid
482,3,TX_PATTERN_DEBUG,TX PATTERN DEBUG
483,3,TYPE_CONFIG_TRACK,TYPE CONFIG TRACK
484,2,Tags.CONST,Tags CONST
485,5,TavernaIcons.importUrlIcon,Taverna Icons import Url Icon
486,7,TeamB_correctionButton.addActionListener,Team B correction Button add Action Listener
487,3,Terrain_DrawXY,Terrain Draw XY
488,2,ThrowCOMError,Throw COMError
489,4,TraitSelectorSeqHelper,Trait Selector Seq Helper
490,4,TypeParameter.PARAM_COMMENT,Type Parameter PARAM COMMENT
491,2,Types.BIGINT,Types BIGINT
492,3,UI_POPUP_INFO,UI POPUP INFO
493,5,UMLMetafacadeProperties.DEFAULT_IDENTIFIER_VISIBILITY,UMLMetafacade Properties DEFAULT IDENTIFIER VISIBILITY
494,4,UNI_LEFT_SINGLE_QUOTE,UNI LEFT SINGLE QUOTE
495,4,UPD_MM_DEL_ARRAY,UPD MM DEL ARRAY
496,2,UPRIGHT_RESIZE,UPRIGHT RESIZE
497,2,USE_FREETYOE,USE FREETYOE
498,3,USE_NC_EXTENSION,USE NC EXTENSION
499,2,USE_SETREUID,USE SETREUID
500,3,UnRegisterSession,Un Register Session
501,6,UnicodeNotFromInputMethodHandler,Unicode Not From Input Method Handler
502,3,UnregisterContentPolicy,Unregister Content Policy
503,3,UpdateResFile,Update Res File
504,5,UserProperties.APP_RSRC_PREFIX,User Properties APP RSRC PREFIX
505,2,VCARD.PRODID,VCARD PRODID
506,4,VCARD_LDAP_IBMMAIL_TYPE,VCARD LDAP IBMMAIL TYPE
507,2,VCCityProp,VCCity Prop
508,3,VCFullNameProp,VCFull Name Prop
509,1,VLNEXT,VLNEXT
510,2,VerifyRuntime,Verify Runtime
511,3,VirtualGraphics.bgcolor,Virtual Graphics bgcolor
512,3,WC_SCROLLBAR_STRING,WC SCROLLBAR STRING
513,2,WH_DEBUG,WH DEBUG
514,1,WIFSIGNALED,WIFSIGNALED
515,1,WSAEMSGSIZE,WSAEMSGSIZE
516,5,WSA_GRANT_ACCESS_TO_ALL,WSA GRANT ACCESS TO ALL
517,2,WS_CARBON,WS CARBON
518,4,WebServiceLifecycleHandler,Web Service Lifecycle Handler
519,3,WindowNoPanel,Window No Panel
520,4,WorkbenchPlugin.PI_WORKBENCH,Workbench Plugin PI WORKBENCH
521,3,XC_hand2,XC hand 2
522,2,XCreateGC,XCreate GC
523,3,XK_KP_Delete,XK KP Delete
524,4,XMLConfig.TYPEDEF_LIST_ATTR,XMLConfig TYPEDEF LIST ATTR
525,2,XMLCyclePrinter,XMLCycle Printer
526,2,XMLDocumentClipboard,XMLDocument Clipboard
527,3,XPC_Log_Finish,XPC Log Finish
528,3,XPT_NewXDRState,XPT New XDRState
529,2,XVID_KEYFRAME,XVID KEYFRAME
530,5,XVID_ME_QUARTERPELREFINE8_RD,XVID ME QUARTERPELREFINE 8 RD
531,3,XpuGetResolution,Xpu Get Resolution
532,3,XtMoveWidget,Xt Move Widget
533,3,XtNminWidth,Xt Nmin Width
534,5,Y4M_ERR_BADEOF,Y 4 M ERR BADEOF
535,1,YNormalized,YNormalized
536,3,ZFULL_FRAGRECORD_ERROR,ZFULL FRAGRECORD ERROR
537,2,ZT_DIAL,ZT DIAL
538,3,_AFX_CMDTARGET_GETSTATE,AFX CMDTARGET GETSTATE
539,2,_BDF_DWIDTH,BDF DWIDTH
540,2,_F_INOUT,F INOUT
541,2,_IO_peekc,IO peekc
542,3,_Mult_Inner_Loop,Mult Inner Loop
543,5,_PR_HAVE_LARGE_OFF_T,PR HAVE LARGE OFF T
544,4,_PR_MD_MEM_UNMAP,PR MD MEM UNMAP
545,4,_PR_MD_OPEN_FILE,PR MD OPEN FILE
546,5,_PT_PTHREAD_MUTEX_IS_LOCKED,PT PTHREAD MUTEX IS LOCKED
547,2,__db_refresh,db refresh
548,3,__db_vrfy_freelist,db vrfy freelist
549,3,__dbreg_init_print,dbreg init print
550,2,__mpool_get,mpool get
551,4,__os_segdata_find_byname,os segdata find byname
552,2,__rw_exception,rw exception
553,3,__txn_prepare_proc,txn prepare proc
554,2,_gridComponents,grid Components
555,7,_gsl_vector_float_view_array_with_stride_,gsl vector float view array with stride
556,3,_httpProtocolVersion,http Protocol Version
557,3,_maxWallTime,max Wall Time
558,6,_pointBorderColour.setSelectedIndex,point Border Colour set Selected Index
559,5,_pr_solx86_clock_gettime,pr solx 86 clock gettime
560,4,_snd_pcm_scope_level,snd pcm scope level
561,3,_strSearchTree,str Search Tree
562,2,a.ecart_,a ecart
563,2,aCallback,a Callback
564,3,aConstructorCID,a Constructor CID
565,5,aDesiredWidgetSize.width,a Desired Widget Size width
566,3,aFrameNum,a Frame Num
567,4,aMinVerticalPos,a Min Vertical Pos
568,4,aNumPagesX,a Num Pages X
569,4,aP3PHeader,a P 3 PHeader
570,2,aRGBMap,a RGBMap
571,4,aRowEndY,a Row End Y
572,5,aSVG.mStrokeOpacity,a SVG m Stroke Opacity
573,2,aTransferables,a Transferables
574,3,aUsesOCSP,a Uses OCSP
575,2,aXMLTerminal,a XMLTerminal
576,2,a_explanation,a explanation
577,3,aassettings.phys_watergravity,aassettings phys watergravity
578,2,absII,abs II
579,5,ac3_bit_allocation.dbknee,ac 3 bit allocation dbknee
580,2,actual_type,actual type
581,3,addActionSet,add Action Set
582,4,addBpelProcessUrl,add Bpel Process Url
583,5,addDocFVsToFile,add Doc FVs To File
584,2,addLibfileset,add Libfileset
585,3,addResumeOperation,add Resume Operation
586,4,addUsersToRol,add Users To Rol
587,2,addWall,add Wall
588,2,add_decroche,add decroche
589,2,addrBook,addr Book
590,1,addrncase,addrncase
591,1,adds,adds
592,3,adpcm_encode_init,adpcm encode init
593,4,ads_sid_to_name,ads sid to name
594,4,agd_serv_struct.fkt,agd serv struct fkt
595,3,ainfo_class_initialized,ainfo class initialized
596,3,alloc_EXPR_LIST,alloc EXPR LIST
597,2,allows_mem,allows mem
598,3,alsa_lisp_t,alsa lisp t
599,2,anSsrc,an Ssrc
600,2,ap_cpystrn,ap cpystrn
601,3,apath.inner_box,apath inner box
602,3,apiScanRec,api Scan Rec
603,2,appParam,app Param
604,2,approxlib_ml,approxlib ml
605,2,apr_fcvt,apr fcvt
606,1,argind,argind
607,4,arglex_token_update_not,arglex token update not
608,1,argsbuffer,argsbuffer
609,4,art_pixbuf_free_shallow,art pixbuf free shallow
610,3,asm_high_label,asm high label
611,4,ast_dsp_get_tcount,ast dsp get tcount
612,4,ast_rtp_lookup_code,ast rtp lookup code
613,3,ast_say_datetime,ast say datetime
614,5,atk_state_set_add_state,atk state set add state
615,2,attConfigs,att Configs
616,2,attractorCount,attractor Count
617,2,attrsExp,attrs Exp
618,2,audio_ch,audio ch
619,2,audio_strerror,audio strerror
620,2,authFinished,auth Finished
621,1,authnokey,authnokey
622,2,autohelper_func,autohelper func
623,4,avg_pixels8_iwmmxt,avg pixels 8 iwmmxt
624,3,aviSynthPanel,avi Synth Panel
625,3,b.m_inline,b m inline
626,3,b.m_partsize,b m partsize
627,4,bAlphaIsValid,b Alpha Is Valid
628,4,backfill_outside_liberty.pos,backfill outside liberty pos
629,3,base_init_list,base init list
630,3,base_source_filenames,base source filenames
631,4,bb_reg_last_clobbers,bb reg last clobbers
632,3,bcBitCount,bc Bit Count
633,1,bctu,bctu
634,2,bestbm.descent,bestbm descent
635,1,bestdot,bestdot
636,2,beyond_eor,beyond eor
637,2,bgMeans,bg Means
638,1,bglight,bglight
639,2,bindingUri,binding Uri
640,2,bisexec_environment,bisexec environment
641,4,bitmap_choice_mult_item,bitmap choice mult item
642,1,bitsx,bitsx
643,4,bmInfo.bmHeight,bm Info bm Height
644,1,bmwidth,bmwidth
645,4,body.cons.numSubs,body cons num Subs
646,1,bodyname,bodyname
647,2,branch_gt,branch gt
648,3,bs_write_ue,bs write ue
649,2,bulletinUid,bulletin Uid
650,2,buttonEl,button El
651,2,byCFGB,by CFGB
652,3,c.ll_corner,c ll corner
653,2,c_pointcontents,c pointcontents
654,2,cachePtr,cache Ptr
655,2,calcHeight,calc Height
656,1,calcmandfpasmstart,calcmandfpasmstart
657,1,callsite,callsite
658,2,campspot_t,campspot t
659,5,canEditAsUserAdmin,can Edit As User Admin
660,1,catalogdownload,catalogdownload
661,3,cattrinbufFileSize,cattrinbuf File Size
662,2,cbuf.data,cbuf data
663,3,cchMatchingPath,cch Matching Path
664,1,celtype,celtype
665,1,certcount,certcount
666,4,cf_2d_decode,cf 2 d decode
667,2,cfirstfreelcpConnect,cfirstfreelcp Connect
668,3,cgm_clip_indicator,cgm clip indicator
669,5,cgs.media.redScoredSound,cgs media red Scored Sound
670,2,chain_alloced,chain alloced
671,1,channelmodify,channelmodify
672,1,charbuff,charbuff
673,2,charstring_execchar,charstring execchar
674,4,checkIfAllBound,check If All Bound
675,3,checkStartThread,check Start Thread
676,3,check_hosts_equiv,check hosts equiv
677,3,chk2modws,chk 2 modws
678,2,chk_status,chk status
679,2,choice_syrecos,choice syrecos
680,3,chpw_req.data,chpw req data
681,3,chroma.blue.x,chroma blue x
682,3,ci_collection_end,ci collection end
683,6,cipbp.dirInfo.ioFlAttrib,cipbp dir Info io Fl Attrib
684,2,cl.timeoutcount,cl timeoutcount
685,5,classEntryTmpl.className,class Entry Tmpl class Name
686,3,clblPageCounter,clbl Page Counter
687,2,clcpConnectsize,clcp Connectsize
688,2,cleanup_elt,cleanup elt
689,4,cli_add_queue_member,cli add queue member
690,4,client_procs.copy_for,client procs copy for
691,2,cloneChoice,clone Choice
692,2,cm_xorot,cm xorot
693,2,cmap_fields,cmap fields
694,5,cmdZoomOut_mouseReleased,cmd Zoom Out mouse Released
695,3,cmd_PrefillForm,cmd Prefill Form
696,2,cmd_stop,cmd stop
697,2,cmmfCertificate,cmmf Certificate
698,7,cmmf_CertOrEncCertSetCertificate,cmmf Cert Or Enc Cert Set Certificate
699,3,cmodel_calculate_max,cmodel calculate max
700,3,col3.green,col 3 green
701,3,colorBoldCyan,color Bold Cyan
702,5,com.adaptiveplanning.system.SystemConfig,com adaptiveplanning system System Config
703,8,com.agical.rmock.core.expectation.modification.MultiplicityModifier,com agical rmock core expectation modification Multiplicity Modifier
704,6,com.apelon.dts.client.namespace.Namespace,com apelon dts client namespace Namespace
705,5,com.capgemini.mda.model.Visitor,com capgemini mda model Visitor
706,10,com.corendal.netapps.framework.workflow.writedatafactories.ProcessExecutionDateFactory,com corendal netapps framework workflow writedatafactories Process Execution Date Factory
707,9,com.esiglo.framework.core.apploader.security.jaxb.SecurityAuthorization,com esiglo framework core apploader security jaxb Security Authorization
708,6,com.greendiamond.rivernorth.ui.SelectionListener,com greendiamond rivernorth ui Selection Listener
709,7,com.gridsystems.module.api.ApiRegisteredType,com gridsystems module api Api Registered Type
710,6,com.icodeon.services.cmi.InteractionType,com icodeon services cmi Interaction Type
711,7,com.kbquest.util.resource.DisposalQueueHandler,com kbquest util resource Disposal Queue Handler
712,5,com.kopiright.bytecode.classfile.Member,com kopiright bytecode classfile Member
713,6,com.projity.pm.scheduling.SchedulingRule,com projity pm scheduling Scheduling Rule
714,6,com.projity.pm.snapshot.SnapshottableImpl,com projity pm snapshot Snapshottable Impl
715,7,com.sun.rave.web.ui.component.Label,com sun rave web ui component Label
716,9,com.sun.rave.web.ui.component.TableRowGroup,com sun rave web ui component Table Row Group
717,8,com.sun.star.i18n.KParseTokens,com sun star i 18 n KParse Tokens
718,6,com.sun.tools.internal.ws.util,com sun tools internal ws util
719,9,com.sun.tools.javac.main.JavacOption.HiddenOption,com sun tools javac main Javac Option Hidden Option
720,7,com.wm.povclipse.property.megapovxrs.ServerTab,com wm povclipse property megapovxrs Server Tab
721,6,com.xerox.VTM.engine.LongPoint,com xerox VTM engine Long Point
722,2,commentBooleans,comment Booleans
723,4,compNameBytes.length,comp Name Bytes length
724,3,completeDropTrigger,complete Drop Trigger
725,2,compress_init,compress init
726,4,computeBreakpointAdornmentFlags,compute Breakpoint Adornment Flags
727,3,computedMinHeight,computed Min Height
728,3,conf.lists.indexed,conf lists indexed
729,2,config.yellow,config yellow
730,2,configuration.overview,configuration overview
731,3,conn_options.secmode,conn options secmode
732,1,connectpath,connectpath
733,4,consumeUnmappedDatastoreField,consume Unmapped Datastore Field
734,1,containerinfo,containerinfo
735,5,contextSupport.createManagedCollection,context Support create Managed Collection
736,2,contractidString,contractid String
737,2,convertOB,convert OB
738,2,corrigeAngles,corrige Angles
739,5,cos_lat_M_cos_lon,cos lat M cos lon
740,3,createChargeLabel,create Charge Label
741,2,createFDC,create FDC
742,4,createHistoryFeedPlugin,create History Feed Plugin
743,2,createJMSAdapter,create JMSAdapter
744,3,createResourceHandler,create Resource Handler
745,4,createVerCurso16,create Ver Curso 16
746,2,crlfHeaders,crlf Headers
747,3,crmf_create_prtime,crmf create prtime
748,2,cryptoMech,crypto Mech
749,2,crypto_flags,crypto flags
750,4,csSEI.fMask,cs SEI f Mask
751,3,cs_file_sec,cs file sec
752,2,ctimebar_h,ctimebar h
753,1,ctop,ctop
754,2,curHdr,cur Hdr
755,4,cur_client.reg.isreg,cur client reg isreg
756,4,currentAppPosition.y,current App Position y
757,2,currentCtx,current Ctx
758,5,customLayoutParameter.pageNumber,custom Layout Parameter page Number
759,2,dDelayed,d Delayed
760,4,dInf.widthMember,d Inf width Member
761,2,d_rcode,d rcode
762,1,databufptr,databufptr
763,3,dayLengthLabel,day Length Label
764,2,dbArray,db Array
765,4,dbObj.ward_id,db Obj ward id
766,2,dbc_ctp,dbc ctp
767,1,dbt,dbt
768,5,dc1394_start_iso_transmission,dc 1394 start iso transmission
769,3,dcA_Partner,dc A Partner
770,5,de.anomic.tools.dirlistComparator,de anomic tools dirlist Comparator
771,3,deGappedConsensus,de Gapped Consensus
772,1,deadsec,deadsec
773,2,dec.signature_,dec signature
774,2,declLambda,decl Lambda
775,2,delWalk,del Walk
776,2,del_l,del l
777,3,del_visible_faces,del visible faces
778,2,deleteUbication,delete Ubication
779,4,dev_proc_fill_mask,dev proc fill mask
780,2,device_prefs,device prefs
781,3,dfield_copy_data,dfield copy data
782,3,di.pDatatype,di p Datatype
783,2,dialogMsg,dialog Msg
784,2,dialog_cb,dialog cb
785,1,dictname,dictname
786,3,dirPropCount,dir Prop Count
787,2,dirYoffset,dir Yoffset
788,1,dirst,dirst
789,5,displayOptionsInfo.brightness.maxvalue,display Options Info brightness maxvalue
790,2,div_r,div r
791,1,dladdr,dladdr
792,4,dll_eth_get_work,dll eth get work
793,3,doCarteCharacters,do Carte Characters
794,4,do_jump_for_compare,do jump for compare
795,4,do_layer3_sideinfo,do layer 3 sideinfo
796,3,do_list_fn,do list fn
797,2,do_unlink,do unlink
798,3,dollar_in_ident,dollar in ident
799,2,domain_obj,domain obj
800,1,domss,domss
801,2,dop.pdriv,dop pdriv
802,1,dosrcs,dosrcs
803,2,double_min,double min
804,3,dp_conf_t,dp conf t
805,1,dpre,dpre
806,4,dragAddNode.drawy,drag Add Node drawy
807,4,dragitem.fsSupportedOps,dragitem fs Supported Ops
808,2,drawMst,draw Mst
809,3,drawTimeBox,draw Time Box
810,2,drift_comp,drift comp
811,2,dsc_orientation,dsc orientation
812,3,dst0.x,dst 0 x
813,6,dst_buffer_to_hmac_md5,dst buffer to hmac md 5
814,2,dtstart.year,dtstart year
815,3,dtype_form_prtype,dtype form prtype
816,1,durations,durations
817,4,dv_init_dct248,dv init dct 248
818,3,dv_video_source,dv video source
819,3,dwUpperLimit,dw Upper Limit
820,2,dwUser,dw User
821,2,dw_mode,dw mode
822,5,dwarf2out_return_reg,dwarf 2 out return reg
823,1,dwl,dwl
824,4,eCSSKeyword_scrollbartrack_vertical,e CSSKeyword scrollbartrack vertical
825,4,eOnDataAvail,e On Data Avail
826,4,eSendBehindFront,e Send Behind Front
827,4,eStyleStruct_Max,e Style Struct Max
828,4,eSystemFont_Tooltips,e System Font Tooltips
829,9,e__SystemEnumStrict_n_from_then_to_uts,e System Enum Strict n from then to uts
830,1,ectr,ectr
831,8,edu.colorado.phet.energyskatepark.view.piccolo.SkaterNode,edu colorado phet energyskatepark view piccolo Skater Node
832,2,eh_proto,eh proto
833,3,emb_read_rows,emb read rows
834,2,encodeDiv,encode Div
835,4,encodeXMLWideFieldElement,encode XMLWide Field Element
836,1,endtravelflags,endtravelflags
837,2,entry_ptr,entry ptr
838,2,env.width,env width
839,1,eod,eod
840,2,eq_func,eq func
841,2,equivs_.last,equivs last
842,3,errFileOpen,err File Open
843,3,error2ECD,error 2 ECD
844,3,errorWarning.filename,error Warning filename
845,3,error_mark_node,error mark node
846,3,evTimeRW,ev Time RW
847,3,ex_coeff_d,ex coeff d
848,3,exact_sos_count,exact sos count
849,2,examples.jaxb,examples jaxb
850,3,execCM_ADD,exec CM ADD
851,2,execDICTSTARTCONF,exec DICTSTARTCONF
852,3,execDI_FCOUNTCONF,exec DI FCOUNTCONF
853,3,execTUP_ALLOCREQ,exec TUP ALLOCREQ
854,5,execWAIT_DROP_TAB_REQ,exec WAIT DROP TAB REQ
855,2,execute_ln,execute ln
856,2,existingNode,existing Node
857,2,explodedDisplay,exploded Display
858,1,expn,expn
859,2,exportPHYLIPINTERFile,export PHYLIPINTERFile
860,5,extractClientEntriesFromUrl,extract Client Entries From Url
861,2,f__curunit,f curunit
862,2,f_bkpt,f bkpt
863,1,fartherin,fartherin
864,1,fastmin,fastmin
865,3,faviconGeneratorElement,favicon Generator Element
866,1,fbuffer,fbuffer
867,3,fc.privateContext,fc private Context
868,3,fcheckData.data,fcheck Data data
869,3,fdlMeta.left,fdl Meta left
870,1,fdset,fdset
871,6,ff_mpeg1_find_frame_end,ff mpeg 1 find frame end
872,3,ffebld_constant_realdefault,ffebld constant realdefault
873,2,ffeexprOperator_,ffeexpr Operator
874,3,ffestp_file.type,ffestp file type
875,3,ffetarget_offset_add,ffetarget offset add
876,3,fftw_sem_post,fftw sem post
877,2,field_idx,field idx
878,2,filesort_limit,filesort limit
879,2,fill_params,fill params
880,3,findHostHealths,find Host Healths
881,3,findSplitRTleaf,find Split RTleaf
882,3,first_resize_height,first resize height
883,2,flFlags,fl Flags
884,3,flag_schedule_insns,flag schedule insns
885,2,fname.chars,fname chars
886,2,fontAFM,font AFM
887,3,fontColorLU,font Color LU
888,3,forceUnixStyle,force Unix Style
889,4,format.mSystemId,format m System Id
890,3,foundDirID,found Dir ID
891,6,fpMediaInfo4_Info_Version,fp Media Info 4 Info Version
892,2,fp_delete,fp delete
893,1,fpmp,fpmp
894,8,fr.tm.elibel.smartqvt.qvt.imperativeocl.ImperativeExpression,fr tm elibel smartqvt qvt imperativeocl Imperative Expression
895,3,frame_num_offset,frame num offset
896,3,free_debug_proc,free debug proc
897,2,fsControl,fs Control
898,4,ft_cleanup_stack_done,ft cleanup stack done
899,2,ftpAdapter,ftp Adapter
900,2,fuUsage,fu Usage
901,2,fullurlC,fullurl C
902,2,func_items,func items
903,7,g640x480x16_regs,g 640 x 480 x 16 regs
904,11,gCatInfoPB.hFileInfo.ioFlXFndrInfo,g Cat Info PB h File Info io Fl XFndr Info
905,6,gConstNoneCharSetMap,g Const None Char Set Map
906,4,gOverlay.the_gui,g Overlay the gui
907,4,gRootAtkObject,g Root Atk Object
908,4,gU2Ntable,g U 2 Ntable
909,4,g_EUCTWShiftTableSet,g EUCTWShift Table Set
910,5,g_MacTurkishMappingTable,g Mac Turkish Mapping Table
911,4,g_date_update_dmy,g date update dmy
912,5,g_nVecVariableCount,g n Vec Variable Count
913,3,g_node_new,g node new
914,4,g_return_if_fail,g return if fail
915,7,g_ufCP949NoKSCHangulMapping,g uf CP 949 No KSCHangul Mapping
916,3,gcLocksHash,gc Locks Hash
917,3,gdk_draw_image,gdk draw image
918,5,gdk_pixmap_create_from_xpm,gdk pixmap create from xpm
919,6,gdk_x11_atom_to_xatom,gdk x 11 atom to xatom
920,3,ge.col_fuzzy,ge col fuzzy
921,3,gen_nonce_hash,gen nonce hash
922,2,gencache_iterate,gencache iterate
923,3,generateFrameFile,generate Frame File
924,4,generateShadowsToXML,generate Shadows To XML
925,4,getAllByName,get All By Name
926,4,getAssociatedJoinDeclares,get Associated Join Declares
927,4,getBusinessPClassDC,get Business PClass DC
928,3,getConfigurationDao,get Configuration Dao
929,3,getConfigurationDir,get Configuration Dir
930,3,getCopyCheckbox,get Copy Checkbox
931,4,getDoubleObjectArray,get Double Object Array
932,2,getEOLMarkers,get EOLMarkers
933,4,getEn_db_id,get En db id
934,3,getGLJournalID,get GLJournal ID
935,3,getIdxElt,get Idx Elt
936,4,getImageFromPlugin,get Image From Plugin
937,4,getInvKindName,get Inv Kind Name
938,6,getKindOfStockTransactionDC,get Kind Of Stock Transaction DC
939,6,getLastAdmInDateGregorian,get Last Adm In Date Gregorian
940,5,getLastNumReturnValues,get Last Num Return Values
941,4,getLastViewedSys,get Last Viewed Sys
942,3,getMBMessageService,get MBMessage Service
943,3,getMaxIn,get Max In
944,2,getNSMapping,get NSMapping
945,3,getNumeroFils,get Numero Fils
946,3,getObsXCoord,get Obs XCoord
947,3,getOfBOM,get Of BOM
948,2,getPHPProjects,get PHPProjects
949,3,getPrefString,get Pref String
950,4,getStdInName,get Std In Name
951,3,getTblOverlap,get Tbl Overlap
952,4,getTimersAsXml,get Timers As Xml
953,2,getUIRenderer,get UIRenderer
954,2,getVersionservidor,get Versionservidor
955,3,getViolatedConstraints,get Violated Constraints
956,8,get_address_gsl_matrix_long_double_max_index,get address gsl matrix long double max index
957,3,get_callerid_ast,get callerid ast
958,2,get_toc,get toc
959,2,get_tsd,get tsd
960,1,getcolor,getcolor
961,1,getservbyname,getservbyname
962,2,getterAtom,getter Atom
963,1,gmlltmp,gmlltmp
964,6,gov.usda.gdpc.GenotypeExperimentProperty,gov usda gdpc Genotype Experiment Property
965,2,gram_vsa,gram vsa
966,2,greenRGB,green RGB
967,4,grid.xaxis.circular.hmt,grid xaxis circular hmt
968,5,gridBagConstraintsX.gridx,grid Bag Constraints X gridx
969,2,gs_malloc,gs malloc
970,4,gtk_widget_ensure_style,gtk widget ensure style
971,4,gx_remap_concrete_gray,gx remap concrete gray
972,3,gz_compress_mmap,gz compress mmap
973,4,h263_chroma_roundtab,h 263 chroma roundtab
974,2,handle_channelstatus,handle channelstatus
975,1,hbit,hbit
976,2,headExp,head Exp
977,2,help_dimu,help dimu
978,2,hiddenXMax,hidden XMax
979,2,highestX,highest X
980,1,hisip,hisip
981,2,hit.linkcount,hit linkcount
982,1,hlib,hlib
983,3,hookGraphicalViewer,hook Graphical Viewer
984,2,horzVis,horz Vis
985,4,hpb.ioDirID,hpb io Dir ID
986,1,hpcxs,hpcxs
987,2,htdbm_init,htdbm init
988,4,html40Latin1,html 40 Latin 1
989,1,hval,hval
990,2,hwndCancel,hwnd Cancel
991,2,i.lvals,i lvals
992,3,iCCP_TYPE,i CCP TYPE
993,2,iMin,i Min
994,2,iTermcond,i Termcond
995,6,i_qp0_cost2_table,i qp 0 cost 2 table
996,1,icause,icause
997,5,icmLuMonoFwd_map,icm Lu Mono Fwd map
998,5,icmTextDescription_get_size,icm Text Description get size
999,2,iconLense,icon Lense
1000,2,iconv_close,iconv close
1001,3,id_clash_len,id clash len
1002,3,idct_cosine_table,idct cosine table
1003,9,idmlinitiative.resources.dtds.aida22.impl.IDTypeImpl.Unmarshaller,idmlinitiative resources dtds aida 22 impl IDType Impl Unmarshaller
1004,1,iff,iff
1005,2,ijintArrayame,ijint Arrayame
1006,2,illegalNums,illegal Nums
1007,2,imgHeight,img Height
1008,2,inFERange,in FERange
1009,3,inPathLen,in Path Len
1010,3,in_conns.remove,in conns remove
1011,3,includedTocFile,included Toc File
1012,3,includes_AST_in,includes AST in
1013,3,indFullresPath,ind Fullres Path
1014,3,indexOpId,index Op Id
1015,2,index_rtx,index rtx
1016,6,info.magnolia.cms.beans.runtime.Document,info magnolia cms beans runtime Document
1017,2,initDBWishlists,init DBWishlists
1018,3,initImageBuffer,init Image Buffer
1019,4,init_g16_i,init g 16 i
1020,3,init_outer_loop,init outer loop
1021,4,init_q_auth_2,init q auth 2
1022,4,init_reg_q_close,init reg q close
1023,1,initarea,initarea
1024,3,initialClearApars,initial Clear Apars
1025,3,initialConnectionSql,initial Connection Sql
1026,1,interdata,interdata
1027,2,intra_only,intra only
1028,2,ioBuffer,io Buffer
1029,3,ipcServiceConstructor,ipc Service Constructor
1030,4,ipchat.info.infoFrame,ipchat info info Frame
1031,4,iquant_intra_m2,iquant intra m 2
1032,2,irpd_getservbyname,irpd getservbyname
1033,4,isIgnoreLoginState,is Ignore Login State
1034,3,isMaxnumingroupModified,is Maxnumingroup Modified
1035,2,isapi_lookup,isapi lookup
1036,1,isaplot,isaplot
1037,1,isldvowel,isldvowel
1038,6,issuerSHA1KeyHash.len,issuer SHA 1 Key Hash len
1039,1,iswrite,iswrite
1040,6,it.tidalwave.bluemarine.text.APEXApertureFormat,it tidalwave bluemarine text APEXAperture Format
1041,2,itemLast,item Last
1042,1,itemnr,itemnr
1043,2,jace.proxygen,jace proxygen
1044,2,jadEncoding,jad Encoding
1045,4,java_class_or_instance,java class or instance
1046,4,javax.management.remote.rmi,javax management remote rmi
1047,3,jdoBeforeUpdate,jdo Before Update
1048,2,jmi_wreset,jmi wreset
1049,2,jpegTags,jpeg Tags
1050,3,jpeg_consume_input,jpeg consume input
1051,1,jrenderer,jrenderer
1052,3,jsTypeTags_,js Type Tags
1053,2,js_Invoke,js Invoke
1054,4,jsd_IsValuePrimitive,jsd Is Value Primitive
1055,2,jserv_pool,jserv pool
1056,3,jsoSourceFolder,jso Source Folder
1057,1,jsystray,jsystray
1058,1,jwo,jwo
1059,8,kBoPoMoFoOrderIdCID,k Bo Po Mo Fo Order Id CID
1060,5,kCurrentCWPanelListVersion,k Current CWPanel List Version
